ffprobe|mp3guessenc|mediainfo|file
UNK|UNK|UNK|good - no shift/BODYROCKERS - I Like The Way - Junior Jack 'rock Da House' Club Mix.mp3
UNK|LAME3.97|LAME3.97|good - no shift/BRITNEY SPEARS - Hold It Against Me.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|good - no shift/BRITNEY SPEARS - I Wanna Go.mp3
UNK|LAME3.99.5|LAME3.99.5|good - no shift/BRITNEY SPEARS - Till The World Ends.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/BROS - I Owe You Nothing - Shep Pettibone Remix.mp3
UNK|UNK|UNK|good - no shift/BRYAN ADAMS vs OTTO KNOWS - A Million Swedish Summers - The White Panda Bootleg.mp3
UNK|UNK|UNK|good - no shift/BRYAN FERRY - Kiss and Tell - Dance Mix.mp3
UNK|UNK|UNK|good - no shift/BRYAN FERRY - Kiss and Tell.mp3
UNK|UNK|UNK|good - no shift/CALVIN HARRIS - Feel So Close - Extended Mix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/CALVIN HARRIS - Summer - Extended Mix.mp3
UNK|LAME3.98.2|LAME|good - no shift/CALVIN HARRIS - Summer - Ju1c3d Daylight Savings Extended Edit .mp3
UNK|UNK|UNK|good - no shift/CALVIN HARRIS - Summer - Lee Morrison Extended Mix.mp3
UNK|UNK|UNK|good - no shift/CALVIN HARRIS - Summer.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|good - no shift/CALVIN HARRIS ft. ELLIE GOULDING - I Need Your Love.mp3
LAME3.98r|LAME3.98.2|LAME3.98r|good - no shift/CALVIN HARRIS ft. FLORENCE WELCH - Sweet Nothing - Cutedit Extended.mp3
UNK|UNK|UNK|good - no shift/CALVIN HARRIS ft. FLORENCE WELCH - Sweet Nothing - Extended Mix.mp3
UNK|UNK|UNK|good - no shift/CALVIN HARRIS ft. HURTS - Under Control - Original Mix.mp3
UNK|OFL|UNK|good - no shift/CALVIN HARRIS ft. JOHN NEWMAN - Blame - Edit.mp3
UNK|LAME3.98.4|LAME3.98.4|good - no shift/CALVIN HARRIS ft. JOHN NEWMAN - Blame - Leo Burn and Alexx Slam Remix.mp3
UNK|LAME3.98.4|LAME3.98.4|good - no shift/CALVIN HARRIS ft. JOHN NEWMAN - Blame - Original.mp3
UNK|UNK|UNK|good - no shift/CAMOUFLAGE - The Great Commandment - Extended Dance Mix.mp3
UNK|LAME3.99.5|LAME3.99.5|good - no shift/CANDY STATION - Young Hearts Run Free - Robbie Rivera Rmx.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/CARLY RAE JEPSEN - Call Me Maybe.mp3
LAME3.99r|LAME3.99.5|LAME3.99r|good - no shift/CHRIS BROWN - Turn Up The Music - Prod. Fuego and The Underdogs.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/CHRIS JAMES, ARTY - Together We Are - Original Mix.mp3
UNK|UNK|UNK|good - no shift/CHRISTINA AGUILERA - Beautiful - Peter Rauhofer Mix.mp3
UNK|UNK|UNK|good - no shift/CHRISTINA AGUILERA - Your Body - Audien Remix.mp3
LAME3.99r|LAME3.99.5|LAME3.99r|good - no shift/CLEAN BANDIT ft. SEAN PAUL and ANNE-MARIE - Rockabye.mp3
UNK|UNK|UNK|good - no shift/COLDPLAY - A Sky Full Of Stars - Artec Rework.mp3
UNK|LAME3.98.4|LAME3.98.4UUUUUUUUU|good - no shift/DADDY YANKEE - Limbo - Original.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/DANIEL SANTACRUZ - Lento - Hallux Makenzo Remix.mp3
UNK|UNK|UNK|good - no shift/DAVID BOWIE - Rebel Rebel - Kapla's Drum Remix.mp3
UNK|LAME3.99.5|LAME3.99.5|good - no shift/DAVID GUETTA ft. SIA - She Wolf - Radio Edit.mp3
LAME3.98|LAME3.98|LAME3.98|good - no shift/DAVID GUETTA ft. SIA - Titanium.mp3
UNK|UNK|UNK|good - no shift/DEEPEST BLUE - Shooting Star - Dirty Radio Remix.mp3
UNK|UNK|UNK|good - no shift/DJ SNAKE ft. JUSTIN BIEBER - Let Me Love You - Xmix Remix.mp3
UNK|LAME3.82|LAME3.82|good - no shift/DON OMAR - Danza Kuduro - ft. Lucenzo.mp3
LAME3.99r|LAME3.99.3|LAME3.99r|good - no shift/ELLIE GOULDING - Burn.mp3
LAME3.99r|LAME3.99.4|LAME3.99r|good - no shift/ELLIE GOULDING ft. CALVIN HARRIS - I Need Your Love.mp3
UNK|LAME3.98.2|LAME3.98.2|good - no shift/ENRIQUE IGLESIAS - Bailando - Extended Christian Mansilla Djs.mp3
LAME3.98|LAME3.98|LAME3.98|good - no shift/ENRIQUE IGLESIAS ft. PITBULL - I Like It - Radio Edit.mp3
UNK|UNK|UNK|good - no shift/ENRIQUE IGLESIAS ft. PITBULL - I Like It - Ultimix.mp3
LAME3.93|LAME3.93|LAME3.93|good - no shift/ERIC PRYDZ - Call On Me - Extended.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|good - no shift/EVA SIMONS ft. KONSHENS - Policeman.mp3
LAME3.99r|LAME3.99.3|LAME3.99r|good - no shift/FANNY LU ft. GENTE DE ZONA - Lo Que Dios Quiera - Dj Cristian Gil Remix 2016.mp3
UNK|UNK|UNK|good - no shift/FILUR - I Want You - Club Version.mp3
UNK|UNK|UNK|good - no shift/FLEETWOOD MAC - Little Lies - Orig.mp3
LAME3.99|LAME3.99|LAME3.99|good - no shift/FLO RIDA - Good Feeling - Original Radio.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|good - no shift/FLO RIDA - Good Feeling - vs Avicci Levels.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|good - no shift/FLO RIDA ft. SIA - Wild Ones.mp3
LAME3.99r|LAME3.99.3|LAME3.99r|good - no shift/FLORIDA ft. TAIO CRUZ - Hangover.mp3
UNK|LAME3.99.5|LAME3.99.5|good - no shift/FRAGMA - Tocas Miracle - In Petto Remix.mp3
UNK|UNK|UNK|good - no shift/FREEMASONS ft. AMANDA WILSON - Watchin' - Club Mix.mp3
UNK|LAME3.93|LAME3.93|good - no shift/GENTE DE ZONA - Algo Contigo.mp3
UNK|UNK|UNK|good - no shift/GENTE DE ZONA ft. PITBULL - Yo Quiero - Si Tu Te Enamoras.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/HARDWELL ft. MATTHEW KOMA - Dare You - Extended Mix.mp3
UNK|UNK|UNK|good - no shift/HELLER and FARLEY PROJECT - Ultra Flava - Heller and Farley Project.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/ICONA POP - I Love It - Cobra Starship Remix.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/ICONA POP - I Love It - ft. Charli Xcx - Cobra Starship Remix.mp3
UNK|UNK|UNK|good - no shift/ICONA POP - I Love It.mp3
UNK|UNK|UNK|good - no shift/ILEGALES - Que Te Vaya Bien.mp3
UNK|UNK|UNK|good - no shift/IRENE CARA - What A Feeling.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|good - no shift/JASON DERULO - The Other Side.mp3
LAME3.90a|(alpha)|LAME3.90a|good - no shift/JCA ft. DANNII MINOGUE - I Begin To Wonder - Ok.mp3
LAME3.90a|(alpha)|LAME3.90a|good - no shift/JCA ft. DANNII MINOGUE - I Begin To Wonder.mp3
UNK|LAME3.97|LAME3.97|good - no shift/JENNIFER LOPEZ - Dance Again.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|good - no shift/JENNIFER LOPEZ - On The Floor - No Rap Version.mp3
LAME3.99r|LAME3.99.5|LAME3.99r|good - no shift/JESSIE J - Domino.mp3
UNK|UNK|UNK|good - no shift/JULIAN COPE - World Shut Your Mouth.mp3
UNK|LAME3.99.5|LAME3.99.5|good - no shift/JUSTIN TIMBERLAKE - Can't Stop The Feeling.mp3
